Date,Price,Open,High,Low,Vol.,Change %
03/01/1993,58.6,59.2,63.4,55.85,48.06K,-3.93%
02/01/1993,61,58.8,67.75,54.5,75.61K,4.63%
01/01/1993,58.3,78.15,78.25,54.1,166.20K,-24.82%
12/01/1992,77.55,72.5,83.55,72.5,61.05K,7.86%
11/01/1992,71.9,68.1,72.5,61.85,67.30K,5.04%
10/01/1992,68.45,56,68.5,56,121.58K,22.89%
09/01/1992,55.7,52.5,58.3,48.7,52.67K,5.29%
08/01/1992,52.9,56.25,57.1,48.1,62.29K,-5.96%
07/01/1992,56.25,55.5,62.1,54.8,42.76K,1.17%
06/01/1992,55.6,63.5,63.9,54.5,57.69K,-12.16%
05/01/1992,63.3,61.75,65.75,57.7,27.59K,2.34%
04/01/1992,61.85,68.65,73.25,61.5,61.82K,-9.71%
03/01/1992,68.5,70.4,75.2,66.7,39.22K,-1.72%
02/01/1992,69.7,72.3,72.7,64.5,67.07K,-3.40%
01/01/1992,72.15,76.8,80.5,72.15,102.96K,-7.14%
12/01/1991,77.7,79.7,81,73.25,22.57K,-1.65%
11/01/1991,79,79.5,81,76,59.60K,-1.92%
10/01/1991,80.55,82.55,84.35,78.9,99.55K,-2.83%
09/01/1991,82.9,85,92.25,81.65,55.79K,-3.21%
08/01/1991,85.65,81.15,86.15,77.6,63.87K,5.22%
07/01/1991,81.4,84.32,85.95,79.6,26.84K,-3.33%
06/01/1991,84.2,86.35,88.7,83.2,51.57K,-2.88%
05/01/1991,86.7,87.75,89.4,85.5,26.94K,-0.57%
04/01/1991,87.2,94.32,95.4,86.5,58.25K,-7.92%
03/01/1991,94.7,91,100,88.9,65.52K,5.05%
02/01/1991,90.15,83.6,92.8,81.75,67.91K,8.61%
01/01/1991,83,89.1,91.3,82.2,88.61K,-6.37%
12/01/1990,88.65,84,94.15,84,36.25K,5.54%
11/01/1990,84,89.62,89.95,80.5,70.42K,-7.18%
10/01/1990,90.5,92.87,94.85,90.4,80.51K,-2.69%
09/01/1990,93,98.85,101,91.5,36.62K,-6.67%
08/01/1990,99.65,93.9,101.75,90.15,55.57K,6.24%
07/01/1990,93.8,83.22,93.8,82.5,32.13K,13.15%
06/01/1990,82.9,93.62,95.4,82.7,49.93K,-11.86%
05/01/1990,94.05,92.25,98.3,88.9,33.31K,1.95%
04/01/1990,92.25,92.62,99.8,90.6,53.61K,0.12%
03/01/1990,92.14,93.5,105,86.75,33.21K,-0.72%
02/01/1990,92.81,79.85,93,79.6,52.13K,16.03%
01/01/1990,79.99,79.66,83.7,76.6,79.70K,0.53%
